Site,Plot,Type,Location ,Year,A_ha,A_est,S,N,E,B,B_2_3,DBHmin_cm,meas_est,emin_g,Lat,Lon,Elev_m,pBnum,pB0,pB1,lambda_1,lambda_2,beta,Notes1,Notes2,Notes3,Notes4,E_2_3,pBnum_2_3
CSIRO permanent rainforest plots of North Queensland,EP42,Tropical trees,Queensland Australia,1977,0.5,N,58,243,2732.4790000000007,9317.053,18082.58,10.0,N,,,,,8535.921832270407,17454.615736225078,8227.767707808543,0.07133770903580039,0.02329804750311209,0.09463575653891249,,,,,2732.4790000000007,15922.508424700532
CSIRO permanent rainforest plots of North Queensland,EP43,Tropical trees,Queensland Australia,1984,0.5,N,59,385,4151.287,12856.02,23767.19,10.0,N,,,,,13648.055383158384,23736.88599140053,13643.572844066386,0.03359035290297466,0.015665295820525626,0.04925564872350029,,,,,4151.287,26449.337443544347
CSIRO permanent rainforest plots of North Queensland,EP44,Tropical trees,Queensland Australia,1990,0.5,N,58,443,3779.391,10811.51,19266.65,10.0,N,,,,,11588.96856717075,19621.50197961263,11871.711423709447,0.02208885992687247,0.017384053607625724,0.039472913534498194,,,,,3779.391,21798.576961877952
RMBL,Belleview,Subalpine meadow flora,Colorado USA,2012,0.0064,N,31,877,917872.0,17532137.0,81474199.0,,N,,,,,19289184.007295076,23932917.164217446,18596954.255934134,0.00706650744159642,3.3806073097454184e-05,0.007100313514693874,,,,,917872.0,98443525.98794076
BCI,CTFS,Tropical trees,Panama,1982,50.0,N,307,235338,23944860.0,405723649.0,1913213810.0,10.0,N,,,,,462468073.2233975,483754150.09153587,454077521.7431179,0.00013496095422886923,1.294838419770757e-05,0.0001479093384265768,http://ctfs.si.edu/webatlas/datasets/bci/,,,,23944860.0,2553872013.5158873
Cocoli,CTFS,Tropical trees,Panama,1997,2.0,N,171,8290,1717206.0,29636476.0,132037706.0,1.0,N,,,,,23311229.619578764,27551152.86325017,22621175.734908324,0.003570573386678772,0.00010006343202357518,0.003670636818702347,http://ctfs.si.edu/webatlas/datasets/cocoli/,http://ctfs.si.edu/webatlas/datasets/bci/Terms%20and%20conditions.htm,https://datadryad.org/stash/dataset/doi:10.15146/5xcp-0d46,,1717206.0,97402285.68104886
Sherman,CTFS,Tropical trees,Panama,1997,5.96,N,225,24453,2325982.0,24937441.0,89063010.0,1.0,N,,,,,28586401.88911199,32150196.86072248,27979182.115782954,0.0013011828003915205,9.776109707937636e-05,0.0013989438974708968,http://ctfs.si.edu/webatlas/datasets/sherman/,,,,2325982.0,117055646.65883468
UC Santa Cruz,FERC,Temperate forest community,California USA,2006,6.0,N,31,8370,10046216.0,223493837.0,1124946208.0,6.0,N,,,,,352478505.5907804,376043691.14481175,342007447.1415944,0.00047195805024326487,3.0883119745013022e-06,0.00047504636221776616,https://forestgeo.si.edu/sites/north-america/university-california-santa-cruz,,,,10046216.0,2517644025.9888506
Catuba,Catuba,Tropical trees,Brazil,1999,20.0,N,156,1009,17760.1,62397.22,122046.5,10.0,N,,,,,70290.40748973901,119720.60820818045,68599.43915406315,0.04056662453983961,0.009312821247559862,0.04987944578739947,https://daac.ornl.gov/VEGETATION/guides/Forest_Inventory_Acre_Brazil.html,,,,17760.1,149329.05999879222
Harvard Forest,EMS Tower,Temperate trees,Massachusetts USA,1993,1.26,N,15,759,4953.74,10880.94,16552.48,9.6,N,,42.54,-72.17,340.0,18479.303476265817,24734.188626297542,20545.68343260809,-0.0004648339685701299,0.0035759069692042895,0.0031110730006341596,https://harvardforest1.fas.harvard.edu/exist/apps/datasets/showData.html?id=hf069,,,,4953.74,41226.496037786375
Harvard Forest,Lyford mapped tree plot,Temperate trees,Massachusetts USA,1969,2.88,N,24,3696,141101.3,655151.6,1474992.0,2.54,N,,42.53,-72.18,345.0,1350240.7768606197,1512056.9995774084,1343283.237362234,0.0007162493860616137,0.00017466575161220128,0.000890915137673815,https://harvardforest1.fas.harvard.edu/exist/apps/datasets/showData.html?id=hf032,,,,141101.3,4961369.374955614
Traunstein Forest Dynamics Plot ,CTFS,Temperate trees,Germany,2016,25.0,N,29,15758,425993.7,1679991.0,3433256.0,5.0,N,,47.935,12.6664,600.0,4729082.071793184,5135717.686210306,4781930.7567743715,0.0001387433027617449,7.069106857350543e-05,0.00020943437133525035,https://forestgeo.si.edu/sites/europe/traunstein,,,,425993.7,19700619.64151691
Atlantic Forest restinga,6L1,Tropical trees,Brazil,2015,0.00125,N,15,22,102.7092,224.3061,345.9933,4.997465,N,,,,,198.71083096197947,1989.7694652019143,-24.369203772942335,0.4786336025039727,0.18585241831166707,0.6644860208156398,,,,,102.7092,283.6876859952031
Atlantic Forest restinga,6L3,Tropical trees,Brazil,2015,0.00125,N,14,20,169.6116,568.2694,1099.453,5.411268,N,,,,,412.8149598942634,4765.3089218818905,-168.7085557367641,0.6175640333670323,0.0935756318360341,0.7111396652030664,,,,,169.6116,662.4162978950905
Atlantic Forest restinga,5L1,Tropical trees,Brazil,2015,0.00125,N,13,25,135.3977,371.2233,655.3729,5.061127,N,,,,,286.1512980413567,1214.1372401238716,210.1931085718872,0.244446327623575,0.11775607643999832,0.3622024040635733,,,,,135.3977,429.80129691945245
Atlantic Forest restinga,5L2,Tropical trees,Brazil,2015,0.00125,N,13,20,195.7322,627.4894,1170.254,5.092958,N,,,,,506.98793747758504,3826.1209675987707,102.54347311920273,0.5165390722666459,0.07397619787381027,0.5905152701404561,,,,,195.7322,840.754257248959
Atlantic Forest restinga,5L3,Tropical trees,Brazil,2015,0.00125,N,15,25,70.73095,110.6893,141.1976,5.252113,N,,,,,111.93860406030157,694.5421323789823,59.113626951828195,0.16259770927740635,0.32800543176995006,0.4906031410473564,,,,,70.73095,144.07468344711359
Atlantic Forest restinga,5L5,Tropical trees,Brazil,2015,0.00125,N,18,27,329.9215,1383.537,3035.431,5.092958,N,,,,,924.5128385670114,7800.645245509331,51.18523504450912,0.5687075621804061,0.059421335230414485,0.6281288974108206,,,,,329.9215,1594.3622209856842
Ordway-Swisher Forest Dynamics Plot,unburned,Temperate trees,,2019,17.6,N,11,7714,2185400.0,18386158.0,54821716.0,1.0,N,,,,,56329557.84656923,53488274.689322926,51231290.45409206,4.3080980876333316e-05,5.051233281565846e-06,4.8132214157899164e-05,,,,,2185400.0,361941557.34994733
Hawaii,Volcano (200 y),Tropical arthropods,Hawaii USA,1997,,N,167,1909,83121.76,424260.2,424260.2,,N,0.0056,,,,502188.2705894083,726575.6996564638,487557.97583814483,0.02075096604330082,0.0020563271091882606,0.02280729315248908,,,,,49565.32,606076.4427109379
Hawaii,Lanai (1500 y),Tropical arthropods,Hawaii USA,1997,,N,156,2253,41210.11,165838.1,165838.1,,N,0.0056,,,,189659.66129639847,269668.4798492044,189617.90806506897,0.012753850867918484,0.004004403817428962,0.016758254685347446,,,,,26991.72,228517.727237202
Hawaii,Kohala (150 ky),Tropical arthropods,Hawaii USA,1997,,N,240,6048,87168.36,339471.8,339471.8,,N,0.0056,,,,404777.1916553804,540240.2899150131,413738.99955384375,0.005266699964891415,0.0029585667519226987,0.008225266716814113,,,,,58945.59,519984.94717396435
Hawaii,Molokai (1.2 My),Tropical arthropods,Hawaii USA,1997,,N,227,3865,102189.2,413508.2,413508.2,,N,0.0056,,,,555142.188649225,759110.2400343304,549241.3979539301,0.011229338172011357,0.002308689010436902,0.013538027182448259,,,,,65915.06,719335.5193350889
Hawaii,Kauai (4My),Tropical arthropods,Hawaii USA,1997,,N,158,1922,35818.52,137916.7,137916.7,,N,0.0056,,,,161073.49504373266,235743.1748729864,160297.92388929956,0.016338032922462668,0.004661245461185987,0.020999278383648654,,,,,23893.82,196698.49693848356
